Position,Name,CPU,Clock Speed,Score (cb),Extra Info
184,AlexCo,AMD Ryzen 7 1700,4.375ghz,173,
185,Do Duc Huy,Intel Core I7 2600K,5ghz,173,
186,shakenbreak,Intel Core I5 2500K,5ghz,173,
187,Cheddle,AMD Ryzen 7 2700X,4.25ghz,173,
188,Crowzer,AMD Ryzen 7 2700X,4.25ghz,173,
189,P4LL3R,Intel Core I7 5960X ,4.5ghz,172,
190,Tech Wizard,Intel Xeon E5 1650 ,4.909ghz,172,
191,Axiste,Intel Core I9 7920X,4.3ghz,172,
192,spuntheone,Intel Core I5 4690K,4.3ghz,172,
193,KingCry,AMD Ryzen 7 2700X,4.2ghz,172,
194,Dabobminable,Intel Core I7 4790K,4.4ghz,171,
195,done12many2,AMD Ryzen 1950X,4.098ghz,171,
196,agent_x007,Intel Core I7 4960X,4.733ghz,171,
197,lucasalles,Intel Core I7 5930K,4.4ghz,170,
198,Demonking,Intel Core I5 4670K,4.4ghz,170,
199,Django,Intel Core I7 3770K,4.7ghz,170,
200,PianoPlayer88Key,Intel Core I7 4790K,4.4ghz,170,
201,tbob22,Intel Xeon E5 1650 ,4.934ghz,170,
202,Wyes,Intel Core I5 4690K,4.5ghz,170,
203,Slugdude,Intel Pentium G3258,4.5ghz,170,
204,Damascus,Intel Core I7 6950X,3ghz,170,
205,G33k 4 L1F3,Intel Pentium G3258,4.5ghz,169,
206,Heydan83,Intel Core I7 3770K,4.7ghz,169,
207,Mr.Meerkat,Intel Core I7 5820K,4.2ghz,169,
208,Tech Wizard,Intel Core I7 4930K,4.6ghz,169,
209,Leonard,Intel Core I5 3570K,4.7ghz,168,
210,Tytan64,AMD Ryzen 7 1700,4.090ghz,168,
211,KeltonDSMer,Intel Pentium G3258,4.56ghz,167,
212,KingCry ,Intel Core I7 4770K,4.2ghz,167,
213,Jumper118,AMD Ryzen 5 1500X,3.992ghz,167,
214,Lemon Wolf,AMD Ryzen 1950X,4.039ghz,167,
215,tbob22,Intel Xeon E5 1680 V2,4.6ghz,167,
216,This kid builds pc,Intel Core I7 2600K,4.691ghz,167,
217,buzzinkeegs,AMD Ryzen 5 1500X,4.090ghz,167,
218,Lmp,Intel Core I7 5820K,4.4ghz,166,
219,pmf026,Intel Core I7 6850K,4ghz,166,
220,Reutech,Intel Core I7 7820X,4.3ghz,166,
221,bAdWindy,Intel Core I5 2500K,4.847ghz,166,
222,YourGadgetGuy,AMD Ryzen 2950X,4.049ghz,166,
223,stevv,Intel Core I7 2600K,4.789ghz,165,
224,Evanair,AMD Ryzen 7 1800X,4.092ghz,165,
225,mcplaza,AMD Ryzen 7 1800X,4ghz,165,
226,Dickielam,AMD Ryzen 7 1800X,3.999ghz,164,
227,CrypticSnow,AMD Ryzen 7 2700X,4.275ghz,164,
228,batpanda,Intel Core I7 5820K,4.2ghz,163,
229,purple_rider,Intel Xeon E3 1240 V5,3.5ghz,163,
230,NathanLawr0,Intel Core I7 6700,3.4ghz,163,
231,communistwatermelon,Intel Core I7 2600K,4.612ghz,162,
232,AlexCo,AMD Ryzen 7 1800X,4.067ghz,162,
233,This kid builds pc,AMD Ryzen 7 1700,3.993ghz,162,
234,Ashiella,AMD Ryzen 7 1700,3.939ghz,162,
235,Analog,Intel Core I7 3820,4.7ghz,161,
236,runit3,Intel Core I5 2550K,4.7ghz,161,
237,Mr.Meerkat,AMD Ryzen 7 1700,3.898ghz,161,
238,dogger20011,AMD Ryzen 7 1700,4ghz,161,
239,captain_cereal_hands,Intel Core I7 6800K,3.5ghz,161,
240,BlizzHeroNuka,Intel Core I7 5820K,4.1ghz,160,
241,Evanair,AMD Ryzen 7 1800X,4.041ghz,160,
242,GoogleGonnaSaveUs,Intel Xeon E3 1240 V5,3.5ghz,160,
243,KingCry,Intel Core I7 4770,3.7ghz,160,
244,Mooshi,Intel Core I7 2500K,4.6ghz,159,
245,BeastlyCarrot,Intel Core I7 3770K,4.6ghz,159,
246,dave_k,AMD Ryzen 5 1600,3.89ghz,159,
247,nicstar,Intel Core I7 3770K,4.5ghz,158,
248,Reutech,Intel Core I7 5820K,4.3ghz,158,
249,Deusrex,AMD Ryzen 7 1700X,3.975ghz,158,
250,kinski,AMD Ryzen 5 2400G,4ghz,158,
251,Tech Wizard,Intel Core I7 4770,3.4ghz,158,
252,ProKoN,Intel Core I7 980X,5.254ghz,157,
253,PingPangbv,Intel Core i7 3930K,4.6ghz,157,
254,GoogleGonnaSaveUs,Intel Xeon E3 1240 V5,3.5ghz,157,
255,Cactusoldman,AMD Ryzen 1950X,3.7ghz,157,
256,bkb1978,Intel Core I7 3770,4.27ghz,157,
257,agent_x007,Intel Xeon E5 1680 V2,4.4ghz,157,
258,TehMasterSword,Intel Core I5 4690K,4.1ghz,156,
259,Levent,Intel Core I5 3570K,4.4ghz,156,
260,Nah Xirok,AMD Ryzen 7 1700,3.807ghz,156,
261,Srnewbee,Intel Core I7 3770K,4.5ghz,156,
262,thekeemo,Intel Core I7 3820,3.6ghz,155,
263,scottyseng,Intel Core I5 2500K,4.6ghz,155,
264,Coaxialgamer,AMD Ryzen 7 1700,3.8ghz,155,
265,DarkMatterX1,AMD Ryzen 5 1600X,3.95ghz,155,
266,DickieIam,AMD Ryzen 7 1800X,3.85ghz,155,
267,Whitshad,AMD Ryzen 7 1700,3.724ghz,154,
268,LOLPhilips,Intel Core I7 3930K,4.5ghz,153,
269,TheElt,Intel Core I5 4690K,3.5ghz,153,
270,Schern,Intel Core I7 4770K,3.9ghz,152,
271,maxtch,Intel Xeon E3 1231 V3,3.446ghz,152,
272,kinski,AMD Ryzen 7 1700,3.8ghz,152,
273,Reutech,Intel Core I7 6800K,4.2ghz,152,
274,Princess Cadence,Intel Core I7 6700,3.4ghz,152,
275,edschofield15,Intel Core I7 3770K,4.5ghz,151,
276,Rainin,Intel Core I7 5820K,3.8ghz,151,
277,ErickS89,Intel Core I7 3820 ,4.4ghz,150,
278,Cheddle,Intel Core I7 5820K,4.645ghz,150,
279,Simon,AMD Ryzen 7 1700,3.824ghz,150,
280,Godlygamer23,Intel Core I5 3570K,4.2ghz,149,
281,ProKoN,Intel Xeon X5650,4.954ghz,149,
282,Ground,Intel Xeon E5640,4.808ghz,149,
283,iHardware Shelden,Intel Core I5 7400,3ghz,149,
284,Tech Wizard,Intel Core I5 7300HQ,2.5ghz,149,
285,Bob CAD,Intel Core I7 3960X,4.3ghz,148,
286,canadianultra,Intel Core I5 4670K,3.8ghz,147,
287,kinski,Intel Pentium G4560,3.5ghz,147,
288,Bubblewhale,Intel Core I5 6500 ,3.368ghz,147,
289,Kizune,2x Intel Xeon E5 2697A V4,2.66ghz,147,
290,Kibbz,AMD Ryzen 7 1700,3.591ghz,147,
291,agent_x007,Intel Core 2 Duo E8400,4.752ghz,146,
292,Pasi123,Intel Core I5 6500 ,3.2ghz,146,
293,Daan033,AMD Ryzen 5 1400,3.7ghz,146,
294,DeanS,Intel Xeon X5690,4.812ghz,145,
295,MightyHammer,AMD Ryzen 5 1600,3.5ghz,145,
296,flibberdipper,Intel Core I5 3570K,3.743ghz,145,
297,devilsdesigner,Intel Core I7 4930K,4.1ghz,144,
