Position,Name,CPU,Clock Speed,Score (cb),extra info
269,adidawha,AMD Ryzen 5 1600X,4.190ghz,1403,
270,Jumper118,Intel Core I7 3930K,5.428ghz,1400,SS Phase
271,Tam3n,Intel Core I7 3970X,5.257ghz,1399,
272,Schnoz,AMD Ryzen 5 2600,4.066ghz,1398,
273,shadowst3p,Intel Core I7 8700K,4.5ghz,1395,
274,Jumper118,Intel Xeon E5 1650 ,5.353ghz,1384,
275,HummeIMD,Intel Core I7 5930K,4.541ghz,1383,
276,glenalz81,AMD Ryzen 5 1600X,4.093ghz,1373,
277,Curufinwe_wins,Intel Core I7 5820K,4.6ghz,1372,
278,Eton,AMD Ryzen 5 2600X,4.049ghz,1366,
279,TheUnsimlingCat,Intel Core I7 6800K,4.5ghz,1363,
280,ViBEE,Intel Core I7 5820K,4.625ghz,1359,
281,Exothermia,Intel Core I7 6800K,4.3ghz,1357,
282,JoshM813,Intel Core I7 6800K,4.368ghz,1356,
283,MoriasGT,Intel Core I7 3930K,5.155ghz,1356,
284,rafazafar,Intel Xeon E5 2658 V3,2.2ghz,1346,
285,retsel007,Intel Core I7 4930K,5ghz,1344,
286,Morgan Everett,Intel Core I7 6800K,4.3ghz,1344,
287,PapersNick,AMD Ryzen 5 1600,4.1ghz,1343,
288,Djxinator,Intel Core I7 6800K,4.2ghz,1340,
289,NumLock21,Intel Xeon E5 1650 V3,4.536ghz,1339,
290,Valermos,Intel Core I7 5820K,4.5ghz,1337,
291,jabumaho,Intel Core I7 5820K,4.7ghz,1337,
292,Anthariel,Intel Core I7 5820K,4.6ghz,1336,
293,runit3,Intel Core I7 5820K,4.5ghz,1333,
294,mer.at,2x Intel Xeon X5670,2.933ghz,1333,
295,Giganthrax,AMD Ryzen 5 1600X,3.99ghz,1332,
296,Cheddle,Intel Core I7 5820K,4.7ghz,1331,
297,TonySmithJr,Intel Core I7 5820K,4.5ghz,1330,
298,Mrchooow,Intel Core I7 6800K,4.2ghz,1328,
299,DeathPheonix,Intel Core I7 6850K,4.3ghz,1328,
300,Omy0453,AMD Ryzen 5 1600X,3.999ghz,1325,
301,spanky1991,Intel Core I7 5820K,4.4ghz,1323,
302,Tech Wizard,Intel Xeon E5 1650 V2,4.838ghz,1322,
303,Glitchmaster0001,2x Intel Xeon X5650,2.67ghz,1321,
304,DiGiTaL FaKiE,AMD Ryzen 5 1600,3.874ghz,1321,
305,Ruy,AMD Ryzen 5 1600X,4.026ghz,1321,
306,FredyCH,Intel Core I7 8700K,4.3ghz,1321,
307,Vaub,Intel Core I7 5820K,4.5ghz,1320,
308,Lays,Intel Core I7 7700K,5.898ghz,1318,
309,bigbear2k,Intel Core I7 5820K,4.6ghz,1316,
310,DarkMatterX1,AMD Ryzen 5 1600X,3.95ghz,1315,
311,lh99,Intel Core I7 5820K,4.6ghz,1313,
312,Frankenburger,Intel Core I7 5820K,4.551ghz,1313,
313,NetherRealm,AMD Ryzen 5 2600X,4.048ghz,1313,
